Drive	Sense	Phase	Amp	Gain	Offset
0	0	33	50	125	80
0	1	31	53	125	81
0	2	28	61	125	68
0	3	28	64	125	61
0	4	29	58	125	70
0	5	32	52	125	79
0	6	29	63	125	63
0	7	29	66	125	66
0	8	28	69	125	57
0	9	30	61	125	67
0	10	32	57	125	71
0	11	30	64	125	64
0	12	28	70	125	56
0	13	29	66	125	66
0	14	28	70	125	55
0	15	28	73	125	50
0	16	28	65	125	63
0	17	29	64	125	66
0	18	28	69	125	64
0	19	28	66	125	58
0	20	28	65	125	63
0	21	30	65	125	65
0	22	30	63	125	66
0	23	30	65	125	61
0	24	29	69	125	62
0	25	29	70	125	53
0	26	29	73	125	59
1	0	29	60	125	65
1	1	29	61	125	64
1	2	28	63	125	68
1	3	28	64	125	64
1	4	28	62	125	64
1	5	29	64	125	63
1	6	29	64	125	63
1	7	28	69	125	54
1	8	28	69	125	57
1	9	29	65	125	66
1	10	28	73	125	54
1	11	29	73	125	55
1	12	29	66	125	63
1	13	29	64	125	59
1	14	30	66	125	62
1	15	31	62	125	66
1	16	29	61	125	70
1	17	28	70	125	56
1	18	27	73	125	49
1	19	27	68	125	58
1	20	29	63	125	63
1	21	29	66	125	62
1	22	29	68	125	56
1	23	29	67	125	58
1	24	28	73	125	45
1	25	31	62	125	67
1	26	29	69	125	56
2	0	29	61	125	65
2	1	28	64	125	64
2	2	28	66	125	62
2	3	28	64	125	65
2	4	28	65	125	66
2	5	29	62	125	67
2	6	29	63	125	67
2	7	27	73	125	46
2	8	28	68	125	59
2	9	28	69	125	56
2	10	28	73	125	53
2	11	28	73	125	51
2	12	29	64	125	61
2	13	29	65	125	62
2	14	29	68	125	60
2	15	32	57	125	77
2	16	30	59	125	69
2	17	28	69	125	57
2	18	30	60	125	68
2	19	27	70	125	56
2	20	28	67	125	59
2	21	29	67	125	61
2	22	30	65	125	63
2	23	30	64	125	63
2	24	29	71	125	53
2	25	32	59	125	70
2	26	30	73	125	53
3	0	30	58	125	74
3	1	29	63	125	68
3	2	28	65	125	60
3	3	28	63	125	70
3	4	28	66	125	61
3	5	28	68	125	59
3	6	29	64	125	69
3	7	28	73	125	49
3	8	28	68	125	59
3	9	28	70	125	57
3	10	28	70	125	59
3	11	28	69	125	54
3	12	29	64	125	61
3	13	29	67	125	62
3	14	28	74	125	48
3	15	29	68	125	56
3	16	28	67	125	58
3	17	28	69	125	62
3	18	31	58	125	71
3	19	27	68	125	59
3	20	28	66	125	59
3	21	29	66	125	58
3	22	28	68	125	59
3	23	29	67	125	58
3	24	29	70	125	58
3	25	32	59	125	69
3	26	31	63	125	64
4	0	29	62	125	71
4	1	28	64	125	65
4	2	28	65	125	65
4	3	28	64	125	63
4	4	29	59	125	70
4	5	29	63	125	66
4	6	29	66	125	60
4	7	29	64	125	64
4	8	30	62	125	66
4	9	30	62	125	62
4	10	28	67	125	61
4	11	28	68	125	57
4	12	30	64	125	66
4	13	29	68	125	64
4	14	29	68	125	60
4	15	29	68	125	64
4	16	27	74	125	50
4	17	28	69	125	61
4	18	28	67	125	59
4	19	27	69	125	57
4	20	27	68	125	54
4	21	29	66	125	60
4	22	29	66	125	64
4	23	30	63	125	65
4	24	29	71	125	54
4	25	29	73	125	54
4	26	28	78	125	53
5	0	29	62	125	66
5	1	28	64	125	63
5	2	28	63	125	66
5	3	29	58	125	70
5	4	30	58	125	72
5	5	30	58	125	66
5	6	29	61	125	69
5	7	29	63	125	64
5	8	31	60	125	72
5	9	32	57	125	78
5	10	28	71	125	54
5	11	28	73	125	52
5	12	30	61	125	63
5	13	32	57	125	70
5	14	29	66	125	60
5	15	27	74	125	49
5	16	27	70	125	55
5	17	29	62	125	66
5	18	27	70	125	59
5	19	28	66	125	67
5	20	28	66	125	61
5	21	29	64	125	61
5	22	29	65	125	59
5	23	29	64	125	61
5	24	29	69	125	61
5	25	28	75	125	49
5	26	28	75	125	51
6	0	29	61	125	70
6	1	29	60	125	72
6	2	28	63	125	65
6	3	29	60	125	71
6	4	28	64	125	66
6	5	29	64	125	64
6	6	29	62	125	68
6	7	29	65	125	66
6	8	29	68	125	59
6	9	31	58	125	73
6	10	30	62	125	65
6	11	29	67	125	63
6	12	28	68	125	60
6	13	29	65	125	64
6	14	27	76	125	51
6	15	27	74	125	52
6	16	27	69	125	55
6	17	27	69	125	58
6	18	28	73	125	53
6	19	28	67	125	62
6	20	28	67	125	63
6	21	29	65	125	65
6	22	30	64	125	60
6	23	31	60	125	73
6	24	30	67	125	59
6	25	29	70	125	56
6	26	28	77	125	48
7	0	28	65	125	56
7	1	29	64	125	61
7	2	29	59	125	65
7	3	28	64	125	65
7	4	29	58	125	67
7	5	30	60	125	73
7	6	28	63	125	62
7	7	29	65	125	61
7	8	28	68	125	56
