Drive	Sense	Phase	Amp	Gain	Offset
0	0	43	65	80	100
0	1	43	65	80	101
0	2	43	65	80	102
0	3	43	65	80	104
0	4	43	65	80	105
0	5	43	65	80	105
0	6	43	65	80	105
0	7	43	65	80	108
0	8	43	65	80	107
0	9	43	65	80	109
0	10	43	65	80	109
0	11	43	65	80	108
0	12	43	65	80	107
0	13	43	65	80	107
0	14	43	65	80	107
0	15	43	65	80	107
1	0	43	65	80	101
1	1	43	65	80	103
1	2	43	65	80	101
1	3	43	65	80	103
1	4	43	65	80	104
1	5	43	65	80	103
1	6	43	65	80	101
1	7	43	65	80	99
1	8	43	65	80	105
1	9	43	65	80	105
1	10	43	65	80	108
1	11	43	65	80	106
1	12	43	65	80	107
1	13	43	65	80	106
1	14	43	65	80	108
1	15	43	65	80	108
2	0	43	65	80	102
2	1	43	65	80	102
2	2	43	65	80	101
2	3	43	65	80	102
2	4	43	65	80	102
2	5	43	65	80	103
2	6	43	65	80	101
2	7	43	65	80	104
2	8	43	65	80	104
2	9	43	65	80	103
2	10	43	65	80	106
2	11	43	65	80	107
2	12	43	65	80	107
2	13	43	65	80	105
2	14	43	65	80	106
2	15	43	65	80	105
3	0	43	65	80	101
3	1	43	65	80	101
3	2	43	65	80	100
3	3	43	65	80	101
3	4	43	65	80	103
3	5	43	65	80	103
3	6	43	65	80	105
3	7	43	65	80	103
3	8	43	65	80	104
3	9	43	65	80	104
3	10	43	65	80	106
3	11	43	65	80	106
3	12	43	65	80	106
3	13	43	65	80	107
3	14	43	65	80	105
3	15	43	65	80	103
4	0	43	65	80	98
4	1	43	65	80	101
4	2	43	65	80	101
4	3	43	65	80	102
4	4	43	65	80	103
4	5	43	65	80	103
4	6	43	65	80	104
4	7	43	65	80	104
4	8	43	65	80	104
4	9	43	65	80	105
4	10	43	65	80	107
4	11	43	65	80	107
4	12	43	65	80	106
4	13	43	65	80	106
4	14	43	65	80	106
4	15	43	65	80	105
5	0	43	65	80	97
5	1	43	65	80	101
5	2	43	65	80	100
5	3	43	65	80	102
5	4	43	65	80	104
5	5	43	65	80	103
5	6	43	65	80	105
5	7	43	65	80	105
5	8	43	65	80	105
5	9	43	65	80	106
5	10	43	65	80	108
5	11	43	65	80	108
5	12	43	65	80	106
5	13	43	65	80	106
5	14	43	65	80	107
5	15	43	65	80	106
6	0	43	65	80	101
6	1	43	65	80	102
6	2	43	65	80	101
6	3	43	65	80	103
6	4	43	65	80	103
6	5	43	65	80	103
6	6	43	65	80	105
6	7	43	65	80	105
6	8	43	65	80	105
6	9	43	65	80	108
6	10	43	65	80	109
6	11	43	65	80	110
6	12	43	65	80	108
6	13	43	65	80	109
6	14	43	65	80	109
6	15	43	65	80	105
7	0	43	65	80	97
7	1	43	65	80	102
7	2	43	65	80	102
7	3	43	65	80	104
7	4	43	65	80	105
7	5	43	65	80	103
7	6	43	65	80	106
7	7	43	65	80	105
7	8	43	65	80	106
7	9	43	65	80	108
7	10	43	65	80	109
7	11	43	65	80	110
7	12	43	65	80	110
7	13	43	65	80	110
7	14	43	65	80	108
7	15	43	65	80	103
8	0	43	65	80	102
8	1	43	65	80	102
8	2	43	65	80	102
8	3	43	65	80	103
8	4	43	65	80	104
8	5	43	65	80	105
8	6	43	65	80	106
8	7	43	65	80	106
8	8	43	65	80	107
8	9	43	65	80	108
8	10	43	65	80	109
8	11	43	65	80	110
8	12	43	65	80	110
8	13	43	65	80	110
8	14	43	65	80	109
8	15	43	65	80	107
9	0	43	65	80	100
9	1	43	65	80	103
9	2	43	65	80	102
9	3	43	65	80	101
9	4	43	65	80	103
9	5	43	65	80	106
9	6	43	65	80	107
9	7	43	65	80	108
9	8	43	65	80	107
9	9	43	65	80	109
9	10	43	65	80	109
9	11	43	65	80	111
9	12	43	65	80	112
9	13	43	65	80	111
9	14	43	65	80	110
9	15	43	65	80	108
10	0	43	65	80	103
10	1	43	65	80	104
10	2	43	65	80	102
10	3	43	65	80	104
10	4	43	65	80	104
10	5	43	65	80	105
10	6	43	65	80	107
10	7	43	65	80	108
10	8	43	65	80	109
10	9	43	65	80	109
10	10	43	65	80	110
10	11	43	65	80	110
10	12	43	65	80	109
10	13	43	65	80	110
10	14	43	65	80	110
10	15	43	65	80	104
11	0	43	65	80	101
11	1	43	65	80	105
11	2	43	65	80	103
11	3	43	65	80	104
11	4	43	65	80	105
11	5	43	65	80	106
11	6	43	65	80	107
11	7	43	65	80	107
11	8	43	65	80	107
11	9	43	65	80	108
11	10	43	65	80	110
11	11	43	65	80	110
11	12	43	65	80	109
11	13	43	65	80	108
11	14	43	65	80	106
11	15	43	65	80	101
12	0	43	65	80	100
12	1	43	65	80	102
12	2	43	65	80	103
12	3	43	65	80	105
12	4	43	65	80	107
12	5	43	65	80	107
12	6	43	65	80	107
12	7	43	65	80	107
12	8	43	65	80	107
12	9	43	65	80	108
12	10	43	65	80	110
12	11	43	65	80	111
12	12	43	65	80	109
12	13	43	65	80	108
12	14	43	65	80	104
12	15	43	65	80	101
13	0	43	65	80	101
13	1	43	65	80	102
13	2	43	65	80	103
13	3	43	65	80	104
13	4	43	65	80	106
13	5	43	65	80	107
13	6	43	65	80	107
13	7	43	65	80	107
13	8	43	65	80	106
13	9	43	65	80	107
13	10	43	65	80	109
13	11	43	65	80	110
13	12	43	65	80	110
13	13	43	65	80	107
