VID	x	y	z
0	0	0	0
1	0.984253	0	0
2	0.984253	0.984253	0
3	0	0.984253	0
4	0.984253	0	0
5	1.96851	0	0
6	1.96851	0.984253	0
7	0.984253	0.984253	0
8	1.96851	0	0
9	2.95276	0	0
10	2.95276	0.984253	0
11	1.96851	0.984253	0
12	2.95276	0	0
13	3.93701	0	0
14	3.93701	0.984253	0
15	2.95276	0.984253	0
16	3.93701	0	0
17	4.92126	0	0
18	4.92126	0.984253	0
19	3.93701	0.984253	0
20	4.92126	0	0
21	5.90552	0	0
22	5.90552	0.984253	0
23	4.92126	0.984253	0
24	5.90552	0	0
25	6.88977	0	0
26	6.88977	0.984253	0
27	5.90552	0.984253	0
28	6.88977	0	0
29	7.87402	0	0
30	7.87402	0.984253	0
31	6.88977	0.984253	0
32	7.87402	0	0
33	8.85827	0	0
34	8.85827	0.984253	0
35	7.87402	0.984253	0
36	8.85827	0	0
37	9.84252	0	0
38	9.84252	0.984253	0
39	8.85827	0.984253	0
40	9.84252	0	0
41	10.8268	0	0
42	10.8268	0.984253	0
43	9.84252	0.984253	0
44	10.8268	0	0
45	11.811	0	0
46	11.811	0.984253	0
47	10.8268	0.984253	0
48	11.811	0	0
49	12.7953	0	0
50	12.7953	0.984253	0
51	11.811	0.984253	0
52	12.7953	0	0
53	13.7795	0	0
54	13.7795	0.984253	0
55	12.7953	0.984253	0
56	13.7795	0	0
57	14.7638	0	0
58	14.7638	0.984253	0
59	13.7795	0.984253	0
60	14.7638	0	0
61	15.748	0	0
62	15.748	0.984253	0
63	14.7638	0.984253	0
64	0	0.984253	0
65	0.984253	0.984253	0
66	0.984253	1.96851	0
67	0	1.96851	0
68	0.984253	0.984253	0
69	1.96851	0.984253	0
70	1.96851	1.96851	0
71	0.984253	1.96851	0
72	1.96851	0.984253	0
73	2.95276	0.984253	0
74	2.95276	1.96851	0
75	1.96851	1.96851	0
76	2.95276	0.984253	0
77	3.93701	0.984253	0
78	3.93701	1.96851	0
79	2.95276	1.96851	0
80	3.93701	0.984253	0
81	4.92126	0.984253	0
82	4.92126	1.96851	0
83	3.93701	1.96851	0
84	4.92126	0.984253	0
85	5.90552	0.984253	0
86	5.90552	1.96851	0
87	4.92126	1.96851	0
88	5.90552	0.984253	0
89	6.88977	0.984253	0
90	6.88977	1.96851	0
91	5.90552	1.96851	0
92	6.88977	0.984253	0
93	7.87402	0.984253	0
94	7.87402	1.96851	0
95	6.88977	1.96851	0
96	7.87402	0.984253	0
97	8.85827	0.984253	0
98	8.85827	1.96851	0
99	7.87402	1.96851	0
100	8.85827	0.984253	0
101	9.84252	0.984253	0
102	9.84252	1.96851	0
103	8.85827	1.96851	0
104	9.84252	0.984253	0
105	10.8268	0.984253	0
106	10.8268	1.96851	0
107	9.84252	1.96851	0
108	10.8268	0.984253	0
109	11.811	0.984253	0
110	11.811	1.96851	0
111	10.8268	1.96851	0
112	11.811	0.984253	0
113	12.7953	0.984253	0
114	12.7953	1.96851	0
115	11.811	1.96851	0
116	12.7953	0.984253	0
117	13.7795	0.984253	0
118	13.7795	1.96851	0
119	12.7953	1.96851	0
120	13.7795	0.984253	0
121	14.7638	0.984253	0
122	14.7638	1.96851	0
123	13.7795	1.96851	0
124	14.7638	0.984253	0
125	15.748	0.984253	0
126	15.748	1.96851	0
127	14.7638	1.96851	0
128	0	1.96851	0
129	0.984253	1.96851	0
130	0.984253	2.95276	0
131	0	2.95276	0
132	0.984253	1.96851	0
133	1.96851	1.96851	0
134	1.96851	2.95276	0
135	0.984253	2.95276	0
136	1.96851	1.96851	0
137	2.95276	1.96851	0
138	2.95276	2.95276	0
139	1.96851	2.95276	0
