VID	x	y	z
0	0	0	0
1	0.236	0	0
2	0.472	0	0
3	0.708	0	0
4	0.944	0	0
5	1.18	0	0
6	1.416	0	0
7	1.652	0	0
8	1.888	0	0
9	2.124	0	0
10	2.36	0	0
11	2.596	0	0
12	2.832	0	0
13	3.068	0	0
14	3.304	0	0
15	3.54	0	0
16	3.776	0	0
17	4.012	0	0
18	4.248	0	0
19	4.484	0	0
20	4.72	0	0
21	4.956	0	0
22	5.192	0	0
23	5.428	0	0
24	5.664	0	0
25	5.9	0	0
26	6.136	0	0
27	6.372	0	0
28	0	0.236	0
29	0.236	0.236	0
30	0.472	0.236	0
31	0.708	0.236	0
32	0.944	0.236	0
33	1.18	0.236	0
34	1.416	0.236	0
35	1.652	0.236	0
36	1.888	0.236	0
37	2.124	0.236	0
38	2.36	0.236	0
39	2.596	0.236	0
40	2.832	0.236	0
41	3.068	0.236	0
42	3.304	0.236	0
43	3.54	0.236	0
44	3.776	0.236	0
45	4.012	0.236	0
46	4.248	0.236	0
47	4.484	0.236	0
48	4.72	0.236	0
49	4.956	0.236	0
50	5.192	0.236	0
51	5.428	0.236	0
52	5.664	0.236	0
53	5.9	0.236	0
54	6.136	0.236	0
55	6.372	0.236	0
56	0	0.472	0
57	0.236	0.472	0
58	0.472	0.472	0
59	0.708	0.472	0
60	0.944	0.472	0
61	1.18	0.472	0
62	1.416	0.472	0
63	1.652	0.472	0
64	1.888	0.472	0
65	2.124	0.472	0
66	2.36	0.472	0
67	2.596	0.472	0
68	2.832	0.472	0
69	3.068	0.472	0
70	3.304	0.472	0
71	3.54	0.472	0
72	3.776	0.472	0
73	4.012	0.472	0
74	4.248	0.472	0
75	4.484	0.472	0
76	4.72	0.472	0
77	4.956	0.472	0
78	5.192	0.472	0
79	5.428	0.472	0
80	5.664	0.472	0
81	5.9	0.472	0
82	6.136	0.472	0
83	6.372	0.472	0
84	0	0.708	0
85	0.236	0.708	0
86	0.472	0.708	0
87	0.708	0.708	0
88	0.944	0.708	0
89	1.18	0.708	0
90	1.416	0.708	0
91	1.652	0.708	0
92	1.888	0.708	0
93	2.124	0.708	0
94	2.36	0.708	0
95	2.596	0.708	0
96	2.832	0.708	0
97	3.068	0.708	0
98	3.304	0.708	0
99	3.54	0.708	0
100	3.776	0.708	0
101	4.012	0.708	0
102	4.248	0.708	0
103	4.484	0.708	0
104	4.72	0.708	0
105	4.956	0.708	0
106	5.192	0.708	0
107	5.428	0.708	0
108	5.664	0.708	0
